DateTime,Fan1Speed,Fan2Speed,CPU Local Temp,GPU Local Temp,CPU Sensor Temp,GPU Sensor Temp,ChargeIC Sensor Temp,Environment Sensor Temp,SSD Sensor Temp,RAM Sensor Temp,PCH Local Temp,PCH Sensor Temp,VRAM Sensor Temp,FBVDDQ Sensor Temp,LidStatus,AdapterH,AdapterL,ThermalMode,PsysH,PsysL
4/17/2024 6:55:29 PM,51,52,68,78,61,58,59,32,67,0,72,0,59,61,14,1,74,3,0,226
4/17/2024 6:55:31 PM,51,52,68,78,61,58,59,32,68,0,70,0,59,61,14,1,74,3,0,201
4/17/2024 6:55:32 PM,51,52,68,78,61,58,59,32,68,0,70,0,59,61,14,1,74,3,0,164
4/17/2024 6:55:34 PM,52,52,68,77,61,58,59,31,68,0,72,0,59,61,14,1,74,3,0,226
4/17/2024 6:55:36 PM,51,52,68,78,61,58,59,31,68,0,72,0,59,61,14,1,74,3,0,222
4/17/2024 6:55:37 PM,51,52,68,78,62,58,59,32,68,0,70,0,59,61,14,1,74,3,0,209
4/17/2024 6:55:39 PM,51,52,68,78,62,58,59,31,68,0,73,0,59,62,14,1,74,3,0,209
4/17/2024 6:55:40 PM,51,52,68,78,62,58,59,32,68,0,73,0,59,62,14,1,74,3,0,221
4/17/2024 6:55:42 PM,51,52,68,77,62,58,59,32,68,0,72,0,59,62,14,1,74,3,0,222
4/17/2024 6:55:44 PM,51,52,68,78,62,58,60,32,68,0,70,0,59,62,14,1,74,3,0,213
4/17/2024 6:55:45 PM,51,52,68,78,62,58,60,32,68,0,71,0,59,62,14,1,74,3,0,210
4/17/2024 6:55:47 PM,51,52,68,78,62,58,60,32,68,0,71,0,59,62,14,1,74,3,0,217
4/17/2024 6:55:48 PM,51,52,68,78,62,58,60,32,68,0,71,0,59,62,14,1,74,3,0,212
4/17/2024 6:55:50 PM,51,52,68,78,62,58,60,32,68,0,70,0,59,62,14,1,74,3,0,221
4/17/2024 6:55:51 PM,51,52,68,78,62,58,60,32,68,0,73,0,59,62,14,1,74,3,0,229
4/17/2024 6:55:53 PM,51,52,68,78,62,58,60,32,68,0,71,0,59,62,14,1,74,3,0,210
4/17/2024 6:55:55 PM,51,52,69,78,62,58,60,32,68,0,71,0,59,62,14,1,74,3,0,183
4/17/2024 6:55:56 PM,51,52,68,78,62,58,60,32,68,0,73,0,59,62,14,1,74,3,0,212
4/17/2024 6:55:58 PM,51,52,69,78,62,58,60,32,69,0,71,0,59,62,14,1,74,3,0,206
4/17/2024 6:55:59 PM,51,52,69,79,62,58,60,32,68,0,72,0,59,62,14,1,74,3,0,212
4/17/2024 6:56:01 PM,51,52,69,79,62,59,60,32,69,0,71,0,59,62,14,1,74,3,0,224
4/17/2024 6:56:03 PM,51,52,68,79,62,59,60,32,69,0,71,0,59,62,14,1,74,3,0,209
4/17/2024 6:56:04 PM,51,52,69,79,62,59,60,32,68,0,73,0,59,62,14,1,74,3,0,215
4/17/2024 6:56:06 PM,51,52,68,79,62,59,60,32,69,0,74,0,59,62,14,1,74,3,0,224
4/17/2024 6:56:07 PM,51,52,68,78,62,59,60,32,69,0,72,0,59,62,14,1,74,3,0,223
4/17/2024 6:56:09 PM,51,52,69,79,62,59,60,32,69,0,71,0,59,62,14,1,74,3,0,205
4/17/2024 6:56:10 PM,51,52,69,79,62,59,60,32,69,0,71,0,59,62,14,1,74,3,0,224
4/17/2024 6:56:12 PM,51,52,69,79,62,59,61,32,69,0,71,0,60,62,14,1,74,3,0,221
4/17/2024 6:56:14 PM,51,52,69,79,62,59,61,32,69,0,73,0,60,62,14,1,74,3,0,213
4/17/2024 6:56:15 PM,51,52,69,78,62,59,61,32,69,0,73,0,60,63,14,1,74,3,0,226
4/17/2024 6:56:17 PM,51,52,69,79,62,59,61,32,69,0,73,0,60,63,14,1,74,3,0,225
4/17/2024 6:56:18 PM,51,52,69,79,62,59,61,33,69,0,73,0,60,63,14,1,74,3,0,209
4/17/2024 6:56:20 PM,51,52,69,79,62,59,61,32,69,0,71,0,60,63,14,1,74,3,0,219
4/17/2024 6:56:22 PM,51,52,69,79,62,59,61,33,69,0,72,0,60,63,14,1,74,3,0,114
4/17/2024 6:56:23 PM,51,52,69,79,62,59,61,33,69,0,74,0,60,63,14,1,74,3,0,208
4/17/2024 6:56:25 PM,51,52,69,80,62,59,61,32,69,0,74,0,60,63,14,1,74,3,0,224
4/17/2024 6:56:26 PM,51,52,69,79,62,59,61,33,70,0,74,0,60,63,14,1,74,3,0,224
4/17/2024 6:56:28 PM,51,52,68,79,62,59,61,33,69,0,73,0,60,63,14,1,74,3,0,212
4/17/2024 6:56:30 PM,51,52,68,80,62,59,61,33,69,0,73,0,60,63,14,1,74,3,0,210
4/17/2024 6:56:31 PM,51,52,69,80,62,59,61,33,69,0,72,0,60,63,14,1,74,3,0,211
4/17/2024 6:56:33 PM,51,52,69,79,62,59,61,33,69,0,72,0,60,63,14,1,74,3,0,220
4/17/2024 6:56:34 PM,51,52,68,80,62,59,61,33,70,0,74,0,60,63,14,1,74,3,0,223
4/17/2024 6:56:36 PM,51,52,68,79,62,59,61,33,70,0,74,0,60,63,14,1,74,3,0,218
4/17/2024 6:56:37 PM,51,52,69,79,62,59,61,33,69,0,72,0,60,63,14,1,74,3,0,207
4/17/2024 6:56:39 PM,51,52,68,79,62,59,61,33,70,0,72,0,60,63,14,1,74,3,0,209
4/17/2024 6:56:41 PM,51,52,69,80,62,59,61,33,70,0,72,0,60,63,14,1,74,3,0,211
4/17/2024 6:56:42 PM,51,52,69,80,63,59,62,33,70,0,74,0,60,63,14,1,74,3,0,210
4/17/2024 6:56:44 PM,51,52,69,80,63,59,62,33,70,0,72,0,60,63,14,1,74,3,0,216
4/17/2024 6:56:45 PM,51,52,69,80,62,59,62,33,70,0,72,0,60,63,14,1,74,3,0,217
4/17/2024 6:56:47 PM,51,52,69,80,62,60,62,33,70,0,72,0,60,63,14,1,74,3,0,217
4/17/2024 6:56:48 PM,51,52,69,80,63,60,62,33,70,0,74,0,60,63,14,1,74,3,0,226
4/17/2024 6:56:50 PM,51,52,69,80,63,59,62,33,70,0,75,0,60,63,14,1,74,3,0,218
4/17/2024 6:56:52 PM,51,52,69,80,63,59,62,33,70,0,74,0,60,63,14,1,74,3,0,213
4/17/2024 6:56:53 PM,51,52,69,80,63,59,62,33,70,0,72,0,60,64,14,1,74,3,0,209
4/17/2024 6:56:55 PM,51,52,69,79,63,60,62,33,70,0,72,0,60,64,14,1,74,3,0,213
4/17/2024 6:56:56 PM,51,52,69,80,63,60,62,33,70,0,72,0,60,64,14,1,74,3,0,224
4/17/2024 6:56:58 PM,51,52,69,80,63,60,62,33,70,0,73,0,60,64,14,1,74,3,0,214
4/17/2024 6:57:00 PM,51,52,69,80,63,60,62,33,70,0,74,0,60,64,14,1,74,3,0,213
4/17/2024 6:57:01 PM,51,52,69,80,63,60,62,33,70,0,74,0,60,64,14,1,74,3,0,220
4/17/2024 6:57:03 PM,51,52,69,80,63,60,62,33,70,0,73,0,61,64,14,1,74,3,0,181
4/17/2024 6:57:04 PM,51,52,69,80,63,60,62,33,70,0,72,0,61,64,14,1,74,3,0,182
4/17/2024 6:57:06 PM,51,52,69,80,63,60,62,33,70,0,73,0,61,64,14,1,74,3,0,222
4/17/2024 6:57:07 PM,51,52,69,80,63,60,62,33,70,0,74,0,61,64,14,1,74,3,0,217
4/17/2024 6:57:09 PM,51,52,69,80,63,60,62,33,70,0,74,0,61,64,14,1,74,3,0,209
4/17/2024 6:57:11 PM,51,52,69,80,63,60,62,33,70,0,73,0,61,64,14,1,74,3,0,170
4/17/2024 6:57:12 PM,51,52,69,80,63,60,62,33,70,0,74,0,61,64,14,1,74,3,0,208
4/17/2024 6:57:14 PM,51,52,69,81,63,60,62,33,70,0,73,0,61,64,14,1,74,3,0,157
4/17/2024 6:57:15 PM,51,52,69,80,63,60,62,33,71,0,74,0,61,64,14,1,74,3,0,211
4/17/2024 6:57:17 PM,51,52,69,80,63,60,62,34,71,0,74,0,61,64,14,1,74,3,0,230
4/17/2024 6:57:18 PM,51,52,69,80,63,60,62,34,71,0,75,0,61,64,14,1,74,3,0,209
4/17/2024 6:57:20 PM,51,52,69,80,63,60,63,34,71,0,75,0,61,64,14,1,74,3,0,228
4/17/2024 6:57:22 PM,51,52,69,80,63,60,63,34,71,0,75,0,61,64,14,1,74,3,0,209
4/17/2024 6:57:23 PM,51,52,69,80,63,60,63,33,71,0,75,0,61,64,14,1,74,3,0,214
4/17/2024 6:57:25 PM,51,52,69,81,63,60,63,34,71,0,75,0,61,64,14,1,74,3,0,222
4/17/2024 6:57:26 PM,51,52,69,81,63,60,63,34,71,0,73,0,61,64,14,1,74,3,0,209
4/17/2024 6:57:28 PM,51,52,69,80,63,60,63,33,71,0,73,0,61,64,14,1,74,3,0,131
4/17/2024 6:57:30 PM,51,52,69,80,63,60,63,33,71,0,75,0,61,64,14,1,74,3,0,181
4/17/2024 6:57:31 PM,51,52,70,80,63,60,63,34,71,0,75,0,61,64,14,1,74,3,0,209
4/17/2024 6:57:33 PM,51,52,69,80,63,60,63,33,71,0,73,0,61,64,14,1,74,3,0,211
4/17/2024 6:57:34 PM,51,52,69,80,63,60,63,34,71,0,73,0,61,64,14,1,74,3,0,213
4/17/2024 6:57:36 PM,51,52,70,80,63,60,63,34,71,0,74,0,61,64,14,1,74,3,0,211
4/17/2024 6:57:38 PM,51,52,69,81,63,60,63,34,71,0,76,0,61,64,14,1,74,3,0,220
4/17/2024 6:57:39 PM,51,52,70,81,63,60,63,34,71,0,76,0,61,64,14,1,74,3,0,217
4/17/2024 6:57:41 PM,51,52,70,80,63,60,63,34,71,0,75,0,61,64,14,1,74,3,0,221
4/17/2024 6:57:42 PM,51,52,69,80,64,60,63,34,71,0,73,0,61,64,14,1,74,3,0,218
4/17/2024 6:57:44 PM,51,52,70,81,63,60,63,34,71,0,73,0,61,64,14,1,74,3,0,160
4/17/2024 6:57:45 PM,51,52,70,80,64,60,63,34,71,0,73,0,61,64,14,1,74,3,0,208
4/17/2024 6:57:47 PM,52,52,70,81,64,60,63,34,71,0,73,0,61,64,14,1,74,3,0,208
4/17/2024 6:57:49 PM,51,52,69,80,64,60,63,34,71,0,73,0,61,64,14,1,74,3,0,225
4/17/2024 6:57:50 PM,51,52,69,80,64,60,63,34,71,0,73,0,61,64,14,1,74,3,0,213
4/17/2024 6:57:52 PM,51,52,70,80,63,60,63,34,71,0,75,0,61,65,14,1,74,3,0,225
4/17/2024 6:57:53 PM,51,52,69,80,63,61,63,34,71,0,75,0,61,65,14,1,74,3,0,222
4/17/2024 6:57:55 PM,51,52,69,80,63,61,63,34,71,0,75,0,61,65,14,1,74,3,0,220
4/17/2024 6:57:57 PM,51,52,69,80,64,61,63,34,71,0,75,0,61,65,14,1,74,3,0,218
4/17/2024 6:57:58 PM,51,52,70,81,64,60,63,34,71,0,74,0,61,65,14,1,74,3,0,216
4/17/2024 6:58:00 PM,51,52,69,80,64,60,63,34,71,0,74,0,61,65,14,1,74,3,0,209
4/17/2024 6:58:01 PM,51,52,69,80,64,61,63,34,71,0,74,0,61,65,14,1,74,3,0,107
4/17/2024 6:58:03 PM,51,52,69,81,64,61,63,34,71,0,76,0,61,65,14,1,74,3,0,212
4/17/2024 6:58:05 PM,51,52,70,81,64,61,63,34,71,0,75,0,61,65,14,1,74,3,0,213
4/17/2024 6:58:06 PM,51,52,70,80,64,60,63,34,71,0,74,0,61,65,14,1,74,3,0,225
4/17/2024 6:58:08 PM,51,52,69,80,64,61,63,34,71,0,76,0,61,65,14,1,74,3,0,215
4/17/2024 6:58:09 PM,51,52,69,81,64,61,64,34,71,0,76,0,61,65,14,1,74,3,0,221
4/17/2024 6:58:11 PM,51,52,69,81,64,61,64,34,71,0,74,0,61,65,14,1,74,3,0,169
4/17/2024 6:58:12 PM,51,52,70,81,64,61,64,34,71,0,74,0,61,65,14,1,74,3,0,215
4/17/2024 6:58:14 PM,51,52,69,80,64,61,64,34,71,0,74,0,61,65,14,1,74,3,0,221
4/17/2024 6:58:16 PM,51,52,69,80,64,61,64,34,71,0,75,0,61,65,14,1,74,3,0,169
4/17/2024 6:58:17 PM,51,52,70,81,64,61,64,34,71,0,75,0,62,65,14,1,74,3,0,220
4/17/2024 6:58:19 PM,51,52,70,81,64,61,64,34,71,0,76,0,62,65,14,1,74,3,0,207
4/17/2024 6:58:20 PM,51,52,70,81,64,61,64,34,72,0,73,0,62,65,14,1,74,3,0,159
4/17/2024 6:58:22 PM,51,52,70,81,64,61,64,34,71,0,76,0,62,65,14,1,74,3,0,225
4/17/2024 6:58:24 PM,51,52,70,81,64,61,64,34,71,0,76,0,62,65,14,1,74,3,0,220
4/17/2024 6:58:25 PM,51,52,70,81,64,61,64,34,72,0,75,0,62,65,14,1,74,3,0,216
4/17/2024 6:58:27 PM,51,52,70,81,64,61,64,34,72,0,76,0,62,65,14,1,74,3,0,240
4/17/2024 6:58:28 PM,51,52,73,80,64,61,64,34,72,0,76,0,62,65,14,1,74,3,0,213
4/17/2024 6:58:30 PM,51,52,72,80,64,61,64,34,72,0,76,0,62,65,14,1,74,3,0,209
4/17/2024 6:58:31 PM,51,52,70,80,64,61,64,34,72,0,76,0,62,65,14,1,74,3,0,212
4/17/2024 6:58:33 PM,51,52,70,81,64,61,64,34,71,0,76,0,62,65,14,1,74,3,0,181
4/17/2024 6:58:35 PM,51,52,70,81,64,61,64,34,72,0,74,0,62,65,14,1,74,3,0,209
